Miasto,Powiat,Województwo,Powierzchnia,Liczba ludności,Gęstość zaludnienia,link,lat,lng,SIMC,Kategoria
Limanowa,limanowski,małopolskie,1870,15067,806,https://pl.wikipedia.org/wiki/Limanowa,49.701667,20.425556,0960510,>10k
Lipiany,pyrzycki,zachodniopomorskie,554,3887,702,https://pl.wikipedia.org/wiki/Lipiany,53.003056,14.969444,0979120,<10k
Lipno,lipnowski,kujawsko-pomorskie,1099,14283,1300,https://pl.wikipedia.org/wiki/Lipno,52.848611,19.180556,0985830,>10k
Lipsk,augustowski,podlaskie,498,2250,452,https://pl.wikipedia.org/wiki/Lipsk_(powiat_augustowski),53.733611,23.399722,0977717,<10k
Lipsko,lipski,mazowieckie,1570,5377,342,https://pl.wikipedia.org/wiki/Lipsko,51.158333,21.649167,0973613,<10k
Lubaczów,lubaczowski,podkarpackie,2573,11830,460,https://pl.wikipedia.org/wiki/Lubacz%C3%B3w,50.159167,23.121944,0972447,>10k
Lubań,lubański,dolnośląskie,1612,20723,1286,https://pl.wikipedia.org/wiki/Luba%C5%84_(wojew%C3%B3dztwo_dolno%C5%9Bl%C4%85skie),51.118056,15.289167,0936150,>10k
Lubartów,lubartowski,lubelskie,1391,21636,1555,https://pl.wikipedia.org/wiki/Lubart%C3%B3w,51.462222,22.608611,0956313,>10k
Lubawa,iławski,warmińsko-mazurskie,1684,10374,616,https://pl.wikipedia.org/wiki/Lubawa,53.505,19.751667,0964749,>10k
Lubawka,kamiennogórski,dolnośląskie,2244,5940,265,https://pl.wikipedia.org/wiki/Lubawka,50.703333,16.001944,0936180,<10k
Lubień Kujawski,włocławski,kujawsko-pomorskie,231,1377,596,https://pl.wikipedia.org/wiki/Lubie%C5%84_Kujawski,52.404722,19.164722,0985898,<10k
Lubin,lubiński,dolnośląskie,4077,71710,1759,https://pl.wikipedia.org/wiki/Lubin,51.3975,16.209444,0954142,>50k
Lublin,Lublin[a],lubelskie,14747,338586,2296,https://pl.wikipedia.org/wiki/Lublin,51.25,22.566667,0954700,>250k
Lubliniec,lubliniecki,śląskie,8936,23551,264,https://pl.wikipedia.org/wiki/Lubliniec,50.668056,18.679167,0931945,>10k
Lubniewice,sulęciński,lubuskie,1211,2080,172,https://pl.wikipedia.org/wiki/Lubniewice,52.516389,15.249722,0182969,<10k
Lubomierz,lwówecki,dolnośląskie,805,1987,247,https://pl.wikipedia.org/wiki/Lubomierz,51.011667,15.509722,0936210,<10k
Luboń,poznański,wielkopolskie,1351,32015,2370,https://pl.wikipedia.org/wiki/Lubo%C5%84,52.345806,16.878361,0970974,>10k
Lubowidz,żuromiński,mazowieckie,527,1645,312,https://pl.wikipedia.org/wiki/Lubowidz,53.122222,19.843056,0118606,<10k
Lubraniec,włocławski,kujawsko-pomorskie,197,2927,1486,https://pl.wikipedia.org/wiki/Lubraniec,52.541944,18.835556,0985929,<10k
Lubsko,żarski,lubuskie,1251,13733,1098,https://pl.wikipedia.org/wiki/Lubsko,51.785556,14.9675,0988490,>10k
Lubycza Królewska,tomaszowski,lubelskie,392,2424,618,https://pl.wikipedia.org/wiki/Lubycza_Kr%C3%B3lewska,50.340803,23.519625,0892889,<10k
Lututów,wieruszowski,łódzkie,1895,2241,118,https://pl.wikipedia.org/wiki/Lutut%C3%B3w,51.371667,18.435278,0706651,<10k
Lwówek,nowotomyski,wielkopolskie,316,2933,928,https://pl.wikipedia.org/wiki/Lw%C3%B3wek,52.447911,16.181014,0971028,<10k
Lwówek Śląski,lwówecki,dolnośląskie,1665,8753,526,https://pl.wikipedia.org/wiki/Lw%C3%B3wek_%C5%9Al%C4%85ski,51.110278,15.584722,0936227,<10k
Łabiszyn,żniński,kujawsko-pomorskie,289,4501,1557,https://pl.wikipedia.org/wiki/%C5%81abiszyn,52.953056,17.919444,0929405,<10k
Łagów,kielecki,świętokrzyskie,822,1543,188,https://pl.wikipedia.org/wiki/%C5%81ag%C3%B3w,50.776667,21.085,0247670,<10k
Łańcut,łańcucki,podkarpackie,1942,17675,910,https://pl.wikipedia.org/wiki/%C5%81a%C5%84cut,50.068056,22.229722,0974529,>10k
Łapy,białostocki,podlaskie,1214,15412,1270,https://pl.wikipedia.org/wiki/%C5%81apy,52.991111,22.885278,0923271,>10k
Łasin,grudziądzki,kujawsko-pomorskie,479,3161,660,https://pl.wikipedia.org/wiki/%C5%81asin,53.519444,19.086667,0983557,<10k
Łask,łaski,łódzkie,1567,16925,1080,https://pl.wikipedia.org/wiki/%C5%81ask,51.589722,19.1325,0976296,>10k
Łaskarzew,garwoliński,mazowieckie,1535,4809,313,https://pl.wikipedia.org/wiki/%C5%81askarzew,51.79,21.5925,0975434,<10k
Łaszczów,tomaszowski,lubelskie,501,2111,421,https://pl.wikipedia.org/wiki/%C5%81aszcz%C3%B3w,50.531667,23.715278,0893742,<10k
Łaziska Górne,mikołowski,śląskie,2011,22130,1100,https://pl.wikipedia.org/wiki/%C5%81aziska_G%C3%B3rne,50.154722,18.843611,0941139,>10k
Łazy,zawierciański,śląskie,860,6744,784,https://pl.wikipedia.org/wiki/%C5%81azy,50.426944,19.394722,0941197,<10k
Łeba,lęborski,pomorskie,1656,3541,214,https://pl.wikipedia.org/wiki/%C5%81eba,54.761111,17.557222,0977380,<10k
Łęczna,łęczyński,lubelskie,1900,18675,983,https://pl.wikipedia.org/wiki/%C5%81%C4%99czna,51.301667,22.879167,0956388,>10k
Łęczyca,łęczycki,łódzkie,895,13786,1540,https://pl.wikipedia.org/wiki/%C5%81%C4%99czyca,52.059167,19.198333,0969250,>10k
Łęknica,żarski,lubuskie,1643,2396,146,https://pl.wikipedia.org/wiki/%C5%81%C4%99knica,51.538333,14.739167,0988508,<10k
Łobez,łobeski,zachodniopomorskie,1284,10048,783,https://pl.wikipedia.org/wiki/%C5%81obez,53.639167,15.621389,0979136,>10k
Łobżenica,pilski,wielkopolskie,325,2939,904,https://pl.wikipedia.org/wiki/%C5%81ob%C5%BCenica,53.262492,17.255681,0966984,<10k
Łochów,węgrowski,mazowieckie,1339,6822,509,https://pl.wikipedia.org/wiki/%C5%81och%C3%B3w,52.530556,21.686111,0975492,<10k
Łomianki,warszawski zachodni,mazowieckie,840,17080,2033,https://pl.wikipedia.org/wiki/%C5%81omianki,52.335556,20.894444,0920864,>10k
Łomża,Łomża[a],podlaskie,3267,62573,1915,https://pl.wikipedia.org/wiki/%C5%81om%C5%BCa,53.176389,22.073056,0957241,>50k
Łosice,łosicki,mazowieckie,2374,7023,296,https://pl.wikipedia.org/wiki/%C5%81osice,52.2125,22.718889,0922120,<10k
Łowicz,łowicki,łódzkie,2342,27896,1191,https://pl.wikipedia.org/wiki/%C5%81owicz,52.106111,19.945833,0977031,>10k
Łódź,Łódź[a],łódzkie,29325,672185,2292,https://pl.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA,51.776667,19.454722,0957650,>500k
Łuków,łukowski,lubelskie,3575,29441,824,https://pl.wikipedia.org/wiki/%C5%81uk%C3%B3w,51.927222,22.383333,0975530,>10k
Maków Mazowiecki,makowski,mazowieckie,1028,9575,931,https://pl.wikipedia.org/wiki/Mak%C3%B3w_Mazowiecki,52.865,21.100556,0966300,<10k
Maków Podhalański,suski,małopolskie,2012,5769,287,https://pl.wikipedia.org/wiki/Mak%C3%B3w_Podhala%C5%84ski,49.730556,19.680833,0924537,<10k
Malbork,malborski,pomorskie,1716,38101,2220,https://pl.wikipedia.org/wiki/Malbork,54.035,19.028056,0932815,>10k
Małogoszcz,jędrzejowski,świętokrzyskie,968,3670,379,https://pl.wikipedia.org/wiki/Ma%C5%82ogoszcz,50.813333,20.268333,0249343,<10k
Małomice,żagański,lubuskie,675,3496,518,https://pl.wikipedia.org/wiki/Ma%C5%82omice,51.557222,15.449444,0988514,<10k
Margonin,chodzieski,wielkopolskie,515,2984,579,https://pl.wikipedia.org/wiki/Margonin,52.973303,17.094797,0966990,<10k
Marki,wołomiński,mazowieckie,2615,36816,1408,https://pl.wikipedia.org/wiki/Marki,52.321111,21.103333,0920901,>10k
Maszewo,goleniowski,zachodniopomorskie,554,3346,604,https://pl.wikipedia.org/wiki/Maszewo,53.496331,15.061422,0979188,<10k
Miasteczko Śląskie,tarnogórski,śląskie,6783,7418,109,https://pl.wikipedia.org/wiki/Miasteczko_%C5%9Al%C4%85skie,50.501667,18.939444,0943902,<10k
Miastko,bytowski,pomorskie,568,10211,1798,https://pl.wikipedia.org/wiki/Miastko,53.999167,16.976389,0977404,>10k
Michałowo,białostocki,podlaskie,215,2983,1387,https://pl.wikipedia.org/wiki/Micha%C5%82owo,53.036944,23.604444,0034507,<10k
Miechów,miechowski,małopolskie,1549,11500,742,https://pl.wikipedia.org/wiki/Miech%C3%B3w,50.357778,20.0325,0947225,>10k
Miejska Górka,rawicki,wielkopolskie,314,3203,1020,https://pl.wikipedia.org/wiki/Miejska_G%C3%B3rka,51.655,16.954444,0954550,<10k
Mielec,mielecki,podkarpackie,4689,60075,1281,https://pl.wikipedia.org/wiki/Mielec,50.291667,21.433333,0974618,>50k
Mielno,koszaliński,zachodniopomorskie,3345,2898,87,https://pl.wikipedia.org/wiki/Mielno,54.26,16.060833,0308353,<10k
Mieroszów,wałbrzyski,dolnośląskie,1031,3964,384,https://pl.wikipedia.org/wiki/Mierosz%C3%B3w,50.666944,16.189722,0984210,<10k
Mieszkowice,gryfiński,zachodniopomorskie,525,3577,681,https://pl.wikipedia.org/wiki/Mieszkowice,52.785278,14.493333,0979202,<10k
Międzybórz,oleśnicki,dolnośląskie,641,2341,365,https://pl.wikipedia.org/wiki/Mi%C4%99dzyb%C3%B3rz,51.399167,17.665556,0937037,<10k
Międzychód,międzychodzki,wielkopolskie,698,10476,1501,https://pl.wikipedia.org/wiki/Mi%C4%99dzych%C3%B3d,52.601111,15.89,0935506,>10k
Międzylesie,kłodzki,dolnośląskie,1437,2514,175,https://pl.wikipedia.org/wiki/Mi%C4%99dzylesie,50.149444,16.666389,0984226,<10k
Międzyrzec Podlaski,bialski,lubelskie,2003,16667,832,https://pl.wikipedia.org/wiki/Mi%C4%99dzyrzec_Podlaski,51.985411,22.784836,0922159,>10k
Międzyrzecz,międzyrzecki,lubuskie,1026,17667,1722,https://pl.wikipedia.org/wiki/Mi%C4%99dzyrzecz,52.448333,15.588333,0935529,>10k
Międzyzdroje,kamieński,zachodniopomorskie,516,5307,1028,https://pl.wikipedia.org/wiki/Mi%C4%99dzyzdroje,53.928889,14.451389,0979248,<10k
Mikołajki,mrągowski,warmińsko-mazurskie,932,3741,401,https://pl.wikipedia.org/wiki/Miko%C5%82ajki,53.803611,21.571667,0977723,<10k
Mikołów,mikołowski,śląskie,7921,41003,518,https://pl.wikipedia.org/wiki/Miko%C5%82%C3%B3w,50.163611,18.903889,0941286,>10k
Mikstat,ostrzeszowski,wielkopolskie,252,1812,719,https://pl.wikipedia.org/wiki/Mikstat,51.531944,17.973056,0937066,<10k
Milanówek,grodziski,mazowieckie,1344,16478,1226,https://pl.wikipedia.org/wiki/Milan%C3%B3wek,52.1243,20.6654,0921020,>10k
Milicz,milicki,dolnośląskie,1350,11199,830,https://pl.wikipedia.org/wiki/Milicz,51.5275,17.271389,0987130,>10k
Miłakowo,ostródzki,warmińsko-mazurskie,876,2540,290,https://pl.wikipedia.org/wiki/Mi%C5%82akowo,54.010278,20.072222,0481761,<10k
Miłomłyn,ostródzki,warmińsko-mazurskie,1238,2421,196,https://pl.wikipedia.org/wiki/Mi%C5%82om%C5%82yn,53.764167,19.838056,0482192,<10k
Miłosław,wrzesiński,wielkopolskie,446,3534,792,https://pl.wikipedia.org/wiki/Mi%C5%82os%C5%82aw,52.202778,17.489444,0971034,<10k
Mińsk Mazowiecki,miński,mazowieckie,1318,40916,3104,https://pl.wikipedia.org/wiki/Mi%C5%84sk_Mazowiecki,52.180556,21.558333,0975687,>10k
Mirosławiec,wałecki,zachodniopomorskie,241,3054,1267,https://pl.wikipedia.org/wiki/Miros%C5%82awiec,53.343889,16.087222,0967038,<10k
Mirsk,lwówecki,dolnośląskie,1466,3786,258,https://pl.wikipedia.org/wiki/Mirsk,50.969167,15.382778,0936233,<10k
Mława,mławski,mazowieckie,3480,31129,895,https://pl.wikipedia.org/wiki/M%C5%82awa,53.127222,20.3575,0930696,>10k
Młynary,elbląski,warmińsko-mazurskie,276,1763,639,https://pl.wikipedia.org/wiki/M%C5%82ynary,54.186356,19.720367,0932873,<10k
Modliborzyce,janowski,lubelskie,789,1459,185,https://pl.wikipedia.org/wiki/Modliborzyce,50.7525,22.329444,0799760,<10k
Mogielnica,grójecki,mazowieckie,1298,2193,169,https://pl.wikipedia.org/wiki/Mogielnica,51.693333,20.724167,0973665,<10k
Mogilno,mogileński,kujawsko-pomorskie,832,11652,1400,https://pl.wikipedia.org/wiki/Mogilno,52.657778,17.950833,0929428,>10k
Mońki,moniecki,podlaskie,766,9933,1297,https://pl.wikipedia.org/wiki/Mo%C5%84ki,53.406944,22.797158,0923348,<10k
Morawica,kielecki,świętokrzyskie,438,1708,390,https://pl.wikipedia.org/wiki/Morawica,50.741111,20.626667,0254226,<10k
Morąg,ostródzki,warmińsko-mazurskie,611,13459,2203,https://pl.wikipedia.org/wiki/Mor%C4%85g,53.916269,19.927847,0964850,>10k
Mordy,siedlecki,mazowieckie,454,1710,377,https://pl.wikipedia.org/wiki/Mordy,52.211111,22.515278,0975747,<10k
Moryń,gryfiński,zachodniopomorskie,554,1612,291,https://pl.wikipedia.org/wiki/Mory%C5%84,52.859444,14.393611,0979283,<10k
Mosina,poznański,wielkopolskie,1350,14255,1056,https://pl.wikipedia.org/wiki/Mosina,52.246667,16.845,0971057,>10k
Mrągowo,mrągowski,warmińsko-mazurskie,1481,21302,1438,https://pl.wikipedia.org/wiki/Mr%C4%85gowo,53.869167,21.299722,0964896,>10k
Mrocza,nakielski,kujawsko-pomorskie,501,4298,858,https://pl.wikipedia.org/wiki/Mrocza,53.244444,17.606111,0929440,<10k
Mrozy,miński,mazowieckie,773,3586,464,https://pl.wikipedia.org/wiki/Mrozy,52.166111,21.800833,0682940,<10k
Mszana Dolna,limanowski,małopolskie,2710,7899,291,https://pl.wikipedia.org/wiki/Mszana_Dolna,49.675375,20.076672,0960697,<10k
Mszczonów,żyrardowski,mazowieckie,856,6290,735,https://pl.wikipedia.org/wiki/Mszczon%C3%B3w,51.974444,20.5125,0977054,<10k
Murowana Goślina,poznański,wielkopolskie,862,10410,1208,https://pl.wikipedia.org/wiki/Murowana_Go%C5%9Blina,52.574172,17.008928,0971152,>10k
Muszyna,nowosądecki,małopolskie,2443,4737,194,https://pl.wikipedia.org/wiki/Muszyna,49.358333,20.9,0961283,<10k
Mysłowice,Mysłowice[a],śląskie,6562,74559,1136,https://pl.wikipedia.org/wiki/Mys%C5%82owice,50.241389,19.136667,0941487,>50k
Myszków,myszkowski,śląskie,7359,31261,425,https://pl.wikipedia.org/wiki/Myszk%C3%B3w,50.575556,19.325833,0932057,>10k
Myszyniec,ostrołęcki,mazowieckie,1122,3397,303,https://pl.wikipedia.org/wiki/Myszyniec,53.384444,21.340556,0514928[3],<10k
Myślenice,myślenicki,małopolskie,3022,18325,606,https://pl.wikipedia.org/wiki/My%C5%9Blenice,49.833333,19.940556,0951617,>10k
Myślibórz,myśliborski,zachodniopomorskie,1504,11049,735,https://pl.wikipedia.org/wiki/My%C5%9Blib%C3%B3rz,52.924722,14.866389,0935558,>10k
Nakło nad Notecią,nakielski,kujawsko-pomorskie,1082,18026,1666,https://pl.wikipedia.org/wiki/Nak%C5%82o_nad_Noteci%C4%85,53.138889,17.599444,0929463,>10k
Nałęczów,puławski,lubelskie,1382,3727,270,https://pl.wikipedia.org/wiki/Na%C5%82%C4%99cz%C3%B3w,51.287222,22.214722,0956454,<10k
Namysłów,namysłowski,opolskie,2261,16622,735,https://pl.wikipedia.org/wiki/Namys%C5%82%C3%B3w,51.072778,17.706944,0965743,>10k
Narol,lubaczowski,podkarpackie,1242,2040,164,https://pl.wikipedia.org/wiki/Narol,50.350278,23.327222,0606984,<10k
Nasielsk,nowodworski,mazowieckie,1257,7650,609,https://pl.wikipedia.org/wiki/Nasielsk,52.589722,20.804167,0930740,<10k
Nekla,wrzesiński,wielkopolskie,1979,3851,195,https://pl.wikipedia.org/wiki/Nekla,52.364889,17.413306,0590310,<10k
Nidzica,nidzicki,warmińsko-mazurskie,686,13547,1975,https://pl.wikipedia.org/wiki/Nidzica,53.358333,20.425,0964904,>10k
Niemcza,dzierżoniowski,dolnośląskie,1981,2932,148,https://pl.wikipedia.org/wiki/Niemcza,50.715833,16.835,0984232,<10k
Niemodlin,opolski,opolskie,1311,6223,475,https://pl.wikipedia.org/wiki/Niemodlin,50.641944,17.619444,0965750,<10k
Niepołomice,wielicki,małopolskie,2740,14022,512,https://pl.wikipedia.org/wiki/Niepo%C5%82omice,50.033889,20.217222,0951675,>10k
Nieszawa,aleksandrowski,kujawsko-pomorskie,979,1834,187,https://pl.wikipedia.org/wiki/Nieszawa,52.836667,18.901389,0985987,<10k
Nisko,niżański,podkarpackie,6096,15193,249,https://pl.wikipedia.org/wiki/Nisko,50.519444,22.141667,0980530,>10k
Nowa Dęba,tarnobrzeski,podkarpackie,1670,11006,659,https://pl.wikipedia.org/wiki/Nowa_D%C4%99ba,50.414722,21.753333,0980636,>10k
Nowa Ruda,kłodzki,dolnośląskie,3705,21643,584,https://pl.wikipedia.org/wiki/Nowa_Ruda,50.579214,16.501458,0984278,>10k
Nowa Sarzyna,leżajski,podkarpackie,915,5740,627,https://pl.wikipedia.org/wiki/Nowa_Sarzyna,50.320278,22.344444,0974788,<10k
Nowa Słupia,kielecki,świętokrzyskie,1397,1356,97,https://pl.wikipedia.org/wiki/Nowa_S%C5%82upia,50.8625,21.086944,0255510,<10k
Nowa Sól,nowosolski,lubuskie,2180,38191,1752,https://pl.wikipedia.org/wiki/Nowa_S%C3%B3l,51.805833,15.716111,0988520,>10k
Nowe,świecki,kujawsko-pomorskie,357,5724,1603,https://pl.wikipedia.org/wiki/Nowe,53.646111,18.729167,0929492,<10k
Nowe Brzesko,proszowicki,małopolskie,726,1654,228,https://pl.wikipedia.org/wiki/Nowe_Brzesko,50.137222,20.384722,0329705,<10k
Nowe Miasteczko,nowosolski,lubuskie,329,2724,828,https://pl.wikipedia.org/wiki/Nowe_Miasteczko,51.690833,15.734722,0988566,<10k
Nowe Miasto Lubawskie,nowomiejski,warmińsko-mazurskie,1137,10709,942,https://pl.wikipedia.org/wiki/Nowe_Miasto_Lubawskie,53.425556,19.587778,0983563,>10k
Nowe Miasto nad Pilicą,grójecki,mazowieckie,1125,3672,326,https://pl.wikipedia.org/wiki/Nowe_Miasto_nad_Pilic%C4%85,51.616667,20.578889,0973725,<10k
Nowe Skalmierzyce,ostrowski,wielkopolskie,158,4744,3003,https://pl.wikipedia.org/wiki/Nowe_Skalmierzyce,51.710278,17.9925,0937089,<10k
Nowe Warpno,policki,zachodniopomorskie,2451,1178,48,https://pl.wikipedia.org/wiki/Nowe_Warpno,53.7225,14.288889,0979308,<10k
Nowogard,goleniowski,zachodniopomorskie,1257,16448,1309,https://pl.wikipedia.org/wiki/Nowogard,53.671944,15.119167,0979389,>10k
Nowogrodziec,bolesławiecki,dolnośląskie,1610,4263,265,https://pl.wikipedia.org/wiki/Nowogrodziec,51.201111,15.385556,0936262,<10k
Nowogród,łomżyński,podlaskie,2055,2150,105,https://pl.wikipedia.org/wiki/Nowogr%C3%B3d,53.227778,21.880556,0957459,<10k
Nowogród Bobrzański,zielonogórski,lubuskie,1463,5060,346,https://pl.wikipedia.org/wiki/Nowogr%C3%B3d_Bobrza%C5%84ski,51.798333,15.253889,0988572,<10k
Nowy Dwór Gdański,nowodworski,pomorskie,507,9862,1945,https://pl.wikipedia.org/wiki/Nowy_Dw%C3%B3r_Gda%C5%84ski,54.2125,19.116667,0932880,<10k
Nowy Dwór Mazowiecki,nowodworski,mazowieckie,2821,28691,1017,https://pl.wikipedia.org/wiki/Nowy_Dw%C3%B3r_Mazowiecki,52.430278,20.715833,0921148,>10k
Nowy Korczyn,buski,świętokrzyskie,745,904,121,https://pl.wikipedia.org/wiki/Nowy_Korczyn,50.299167,20.808889,0256142,<10k
Nowy Sącz,Nowy Sącz[a],małopolskie,5758,83558,1451,https://pl.wikipedia.org/wiki/Nowy_S%C4%85cz,49.625,20.695556,0959435,>50k
Nowy Staw,malborski,pomorskie,467,4226,905,https://pl.wikipedia.org/wiki/Nowy_Staw,54.135556,19.013333,0932904,<10k
Nowy Targ,nowotarski,małopolskie,5107,33257,651,https://pl.wikipedia.org/wiki/Nowy_Targ,49.477778,20.03,0961538,>10k
Nowy Tomyśl,nowotomyski,wielkopolskie,520,14319,2754,https://pl.wikipedia.org/wiki/Nowy_Tomy%C5%9Bl,52.317222,16.121667,0971175,>10k
Nowy Wiśnicz,bocheński,małopolskie,497,2763,556,https://pl.wikipedia.org/wiki/Nowy_Wi%C5%9Bnicz,49.914722,20.460833,0824936,<10k
Nysa,nyski,opolskie,2751,43356,1576,https://pl.wikipedia.org/wiki/Nysa,50.471667,17.334167,0965789,>10k
Oborniki,obornicki,wielkopolskie,1408,17848,1268,https://pl.wikipedia.org/wiki/Oborniki,52.644722,16.814167,0971181,>10k
Oborniki Śląskie,trzebnicki,dolnośląskie,1446,9075,628,https://pl.wikipedia.org/wiki/Oborniki_%C5%9Al%C4%85skie,51.298611,16.901667,0987182,<10k
Obrzycko,szamotulski,wielkopolskie,374,2385,638,https://pl.wikipedia.org/wiki/Obrzycko,52.706389,16.529167,0971212,<10k
Odolanów,ostrowski,wielkopolskie,476,5114,1074,https://pl.wikipedia.org/wiki/Odolan%C3%B3w,51.574444,17.673889,0937110,<10k
Ogrodzieniec,zawierciański,śląskie,2856,4243,149,https://pl.wikipedia.org/wiki/Ogrodzieniec,50.451111,19.518889,0941748,<10k
Okonek,złotowski,wielkopolskie,601,3842,639,https://pl.wikipedia.org/wiki/Okonek,53.535556,16.851944,0967044,<10k
Olecko,olecki,warmińsko-mazurskie,1154,16364,1418,https://pl.wikipedia.org/wiki/Olecko,54.036172,22.498242,0977798,>10k
Olesno,oleski,opolskie,1508,9353,620,https://pl.wikipedia.org/wiki/Olesno,50.875,18.416667,0932293,<10k
Oleszyce,lubaczowski,podkarpackie,508,2948,580,https://pl.wikipedia.org/wiki/Oleszyce,50.166944,23.030833,0972507,<10k
Oleśnica,oleśnicki,dolnośląskie,2096,36979,1764,https://pl.wikipedia.org/wiki/Ole%C5%9Bnica,51.212778,17.383056,0987213,>10k
Oleśnica,staszowski,świętokrzyskie,1004,1809,180,https://pl.wikipedia.org/wiki/Ole%C5%9Bnica_(wojew%C3%B3dztwo_%C5%9Bwi%C4%99tokrzyskie),50.45,21.05,0257118,<10k
Olkusz,olkuski,małopolskie,2565,34757,1355,https://pl.wikipedia.org/wiki/Olkusz,50.279167,19.559722,0941777,>10k
Olsztyn,Olsztyn[a],warmińsko-mazurskie,8833,171249,1939,https://pl.wikipedia.org/wiki/Olsztyn,53.773056,20.476111,0964465,>100k
Olsztynek,olsztyński,warmińsko-mazurskie,769,7491,974,https://pl.wikipedia.org/wiki/Olsztynek,53.582431,20.282731,0964910,<10k
Olszyna,lubański,dolnośląskie,2026,4325,213,https://pl.wikipedia.org/wiki/Olszyna,51.066667,15.388889,0191684,<10k
Oława,oławski,dolnośląskie,2736,33087,1209,https://pl.wikipedia.org/wiki/O%C5%82awa,50.943889,17.2925,0987259,>10k
Opalenica,nowotomyski,wielkopolskie,642,9545,1487,https://pl.wikipedia.org/wiki/Opalenica,52.309167,16.409444,0971241,<10k
Opatowiec,kazimierski,świętokrzyskie,547,336,61,https://pl.wikipedia.org/wiki/Opatowiec,50.241944,20.723611,0257963,<10k
Opatów,opatowski,świętokrzyskie,936,6374,681,https://pl.wikipedia.org/wiki/Opat%C3%B3w,50.805,21.424722,0980671,<10k
Opatówek,kaliski,wielkopolskie,868,3611,416,https://pl.wikipedia.org/wiki/Opat%C3%B3wek,51.74,18.214444,0205386,<10k
Opoczno,opoczyński,łódzkie,2699,20746,769,https://pl.wikipedia.org/wiki/Opoczno,51.377222,20.286944,0967943,>10k
Opole,Opole[a],opolskie,14888,127839,859,https://pl.wikipedia.org/wiki/Opole,50.664722,17.926944,0965016,>100k
Opole Lubelskie,opolski,lubelskie,1512,8320,550,https://pl.wikipedia.org/wiki/Opole_Lubelskie,51.147222,21.968889,0956550,<10k
Orneta,lidzbarski,warmińsko-mazurskie,963,8648,898,https://pl.wikipedia.org/wiki/Orneta,54.115556,20.13,0932910,<10k
Orzesze,mikołowski,śląskie,8371,21290,254,https://pl.wikipedia.org/wiki/Orzesze,50.143889,18.775556,0941984,>10k
Orzysz,piski,warmińsko-mazurskie,817,5526,676,https://pl.wikipedia.org/wiki/Orzysz,53.810264,21.947297,0977806,<10k
Osieczna,leszczyński,wielkopolskie,476,2392,503,https://pl.wikipedia.org/wiki/Osieczna,51.905833,16.676389,0954567,<10k
Osiek,staszowski,świętokrzyskie,1743,1970,113,https://pl.wikipedia.org/wiki/Osiek_(wojew%C3%B3dztwo_%C5%9Bwi%C4%99tokrzyskie),50.52,21.442778,0802202,<10k
Ostrołęka,Ostrołęka[a],mazowieckie,3346,51656,1544,https://pl.wikipedia.org/wiki/Ostro%C5%82%C4%99ka,53.082778,21.5725,0966079,>50k
Ostroróg,szamotulski,wielkopolskie,125,1916,1533,https://pl.wikipedia.org/wiki/Ostror%C3%B3g,52.626944,16.455278,0971264,<10k
Ostrowiec Świętokrzyski,ostrowiecki,świętokrzyskie,4643,67404,1452,https://pl.wikipedia.org/wiki/Ostrowiec_%C5%9Awi%C4%99tokrzyski,50.9325,21.386111,0947308,>50k
Ostróda,ostródzki,warmińsko-mazurskie,1415,32714,2312,https://pl.wikipedia.org/wiki/Ostr%C3%B3da,53.693889,19.966111,0964927,>10k
Ostrów Lubelski,lubartowski,lubelskie,2977,2089,70,https://pl.wikipedia.org/wiki/Ostr%C3%B3w_Lubelski,51.491111,22.855,0956690,<10k
Ostrów Mazowiecka,ostrowski,mazowieckie,2227,22216,998,https://pl.wikipedia.org/wiki/Ostr%C3%B3w_Mazowiecka,52.800833,21.896111,0966330,>10k
Ostrów Wielkopolski,ostrowski,wielkopolskie,4190,71560,1708,https://pl.wikipedia.org/wiki/Ostr%C3%B3w_Wielkopolski,51.654722,17.807222,0937132,>50k
Ostrzeszów,ostrzeszowski,wielkopolskie,1213,13964,1151,https://pl.wikipedia.org/wiki/Ostrzesz%C3%B3w,51.425,17.929722,0937250,>10k
Ośno Lubuskie,słubicki,lubuskie,801,3896,486,https://pl.wikipedia.org/wiki/O%C5%9Bno_Lubuskie,52.452222,14.8775,0935587,<10k
Oświęcim,oświęcimski,małopolskie,3000,37569,1252,https://pl.wikipedia.org/wiki/O%C5%9Bwi%C4%99cim,50.039167,19.220833,0924997,>10k
Otmuchów,nyski,opolskie,4954,6474,131,https://pl.wikipedia.org/wiki/Otmuch%C3%B3w,50.466667,17.175,0965832,<10k
Otwock,otwocki,mazowieckie,4731,44317,937,https://pl.wikipedia.org/wiki/Otwock,52.106111,21.265833,0921237,>10k
Otyń,nowosolski,lubuskie,786,1641,209,https://pl.wikipedia.org/wiki/Oty%C5%84,51.847222,15.709722,0912824,<10k
Ozimek,opolski,opolskie,325,8480,2609,https://pl.wikipedia.org/wiki/Ozimek,50.680278,18.21,0965849,<10k
Ozorków,zgierski,łódzkie,1546,19128,1237,https://pl.wikipedia.org/wiki/Ozork%C3%B3w,51.958333,19.288056,0958967,>10k
Ożarów,opatowski,świętokrzyskie,779,4451,571,https://pl.wikipedia.org/wiki/O%C5%BCar%C3%B3w,50.890833,21.667778,0980777,<10k
